"PersonID","Name","ZhName","AltName","AltZhName","AltSpelling","AltZhSpelling","Surname","IsProperName","Gender","BirthYear","DeathYear","BirthPlace","DeathPlace","StrongID","UpdatedStrongID","RefStrongID","RefBirth","RefDeath","RefAge","RefCorrections","RefClass","RefParent","RefNotes","RefDetail","Verses","RefSpouse","RefFatherBFTID","RefRank","BFTID","IsFatherMatch","Spouse","IsStrongMatch","IsChildMatch","KoName","IsHide"
11,Abdon,亞伯頓,"","","","","","1",M,"","","","",H5658,H5658,"H5658, H5683",0,"","",,Israel,Shashak,,(1 Chronicles 8:23),"1Chr 8:23; ","",814,4,818,0,"",0,,압돈,
12,Abdon,亞伯頓,"","","","","","1",M,"","","","",H5658,H5658,"H5658, H5683",0,"","",,Israel,Jeiel,,(1 Chronicles 9:36),"1Chr 8:30; 1Chr 9:36; ","",865,1,866,0,"",0,,압돈,
13,Abel,亞伯,"","","","","","1",M,"3938 BC","3880 BC",Eden,"East of Eden","G6, H1893","G6,H1893","H59, H1893, G6",0,"","","G6, H1893",base,Adam,"H1893=1) second son of Adam and Eve, killed by his brother Cain
G6=Abel, the son of Adam
H59 is a place=1) city in northern Israel near Bethmaachah
2) the place where the ark rested in the field of Joshua at Bethshemesh","(Genesis 4:2, Genesis 4:8)",Gen 4:2; Gen 4:4; Gen 4:8; Gen 4:9; Gen 4:25; Matt 23:35; Luke 11:51; Heb 11:4; Heb 12:24; ,"",1,1,2,1,"",0,,아벨(인명),
14,Abijah,亞比雅,Abi,亞比,"","","","1",F,"","","","","H21, H29","H21,H29","",0,"","",,"","",,"","2Kgs 18:2; 2Chr 29:1; ","",0,0,0,,Ahaz (118),,,아비,
15,Abiah,亞比雅,"","","","","","1",M,"","","","",H29,H29,"",0,"","",,"","",,"","1Sam 8:2; 1Chr 6:28; ","",0,0,0,,"",,,아비야,
16,Abiah,亞比雅,"","","","","","1",F,"","","","",H29,H29,"",0,"","",,"","",,"","1Chr 2:24; ","",0,0,0,,Hezron (1520),,,아비야,
17,Abiah,亞比雅,"","","","","","1",M,"","","","",H29,H29,"H29, H38, G7",0,"","",,Israel,Becher,,(1 Chronicles 7:8),"1Chr 7:8; ","",841,7,848,0,"",0,,아비야,
18,Abiel,亞別,"","","","","","1",M,"","","","",H22,H22,"",0,"","",,"","",,"","1Chr 11:32; ","",0,0,0,,"",,,아비엘,
19,Ebiasaph,,"",,"Abiasaph, Ebiasaph, Asaph",,"","1",M,"","","","","H23,H43,H623","H23,H43,H623",H23,,,,,Israel priest,Elkanah,,"(Exodus 6:24, 1 Chronicles: 6:23, 1 Chronicles 6:37)",Exod 6:24; 1Chr 6:23; 1Chr 6:37; 1Chr 9:19; 1Chr 26:1; ,"",221,1,222,0,,0,,아비아삽,
20,Abiathar,亞比亞他,"","","","","","1",M,"","","","","G8, H54","G8,H54","",0,"","",,"","",,"","1Sam 22:20; 1Sam 22:21; 1Sam 22:22; 1Sam 23:6; 1Sam 23:9; 1Sam 30:7; 2Sam 8:17; 2Sam 15:24; 2Sam 15:27; 2Sam 15:29; 2Sam 15:35; 2Sam 15:36; 2Sam 17:15; 2Sam 19:11; 2Sam 20:25; 1Kgs 1:7; 1Kgs 1:19; 1Kgs 1:25; 1Kgs 1:42; 1Kgs 2:22; 1Kgs 2:26; 1Kgs 2:27; 1Kgs 2:35; 1Kgs 4:4; 1Chr 15:11; 1Chr 18:16; 1Chr 24:6; 1Chr 27:34; Mark 2:26; ","",0,0,0,,"",,,아비아달(인명),
21,Abida,亞比大,"","","","","","1",M,"","","","",H28,H28,"",0,"","",,base,Midian,,(Genesis 25:4),Gen 25:4; 1Chr 1:33; ,"",913,4,917,0,"",,,아비다,
22,Abidan,亞比但,"","","","","","1",M,"","","","",H27,H27,"",0,"","",,"","",,"",Num 1:11; Num 2:22; Num 7:60; Num 7:65; Num 10:24; ,"",0,0,0,,"",,,아비단,
23,Abiel,亞別,"Ner, Jehiel, Jeiel","尼珥, 耶利","","","","1",M,"","","","","H22, H3273, H5369","H22,H3273,H5369","",0,"","",,"","",,"","1Sam 9:1; 1Sam 14:51; 1Chr 8:33; 1Chr 9:35; 1Chr 9:39; ","",0,0,0,,Maachah (1844),,,아비엘,
24,Abiezer,亞比以謝,"","","","","","1",M,"","","","",H44,H44,"",0,"","",,"","",,"","2Sam 23:27; 1Chr 11:28; 1Chr 27:12; ","",0,0,0,,"",,,아비에셀,
25,Abiezer,亞比以謝,"","","","","","1",M,"","","","",H44,H44,H44,0,"","",,Israel,Hammolecheth,,(1 Chronicles 7:18),"1Chr 7:18; ","",729,2,731,,"",1,,아비에셀,
26,Abigail,亞比該,"","","","","","1",F,"","","","",H26,H26,"",0,"","",,"","",,"","1Sam 25:3; 1Sam 25:14; 1Sam 25:18; 1Sam 25:23; 1Sam 25:32; 1Sam 25:36; 1Sam 25:39; 1Sam 25:40; 1Sam 25:42; 1Sam 27:3; 1Sam 30:5; 2Sam 2:2; 2Sam 3:3; 1Chr 3:1; ","",0,0,0,,David (994) Nabal (2126),,,아비가일,
27,Abigail,亞比該,"","","","","","1",F,"","","","",H26,H26,H26,0,"","",,Israel female,Jesse,,(1 Chronicles 2:16),"2Sam 17:25; 1Chr 2:16; 1Chr 2:17; ",Jether the Ishmaelite (1 Chronicles 2:17),364,9,512,0,Jether (907),1,,아비가일,
28,Abihail,亞比孩,"","","","","","1",F,"","","","",H32,H32,"",0,"","",,"","",,"",Num 3:35; ,"",0,0,0,,"",,,아비하일,
29,Abihail,亞比孩,"","","","","","1",F,"","","","",H32,H32,"",0,"","",,"","",,"","1Chr 2:29; ","",0,0,0,,Abishur (53),,,아비하일,
30,Abihail,亞比孩,"","","","","","1",F,"","","","",H32,H32,"",0,"","",,"","",,"","1Chr 5:14; ","",0,0,0,,"",,,아비하일,
31,Abihail,亞比孩,"","","","","","1",F,"","","","",H32,H32,"",0,"","",,"","",,"","2Chr 11:18; ","",0,0,0,,Rehoboam (2412),,,아비하일,
32,Abihail,亞比孩,"","","","","","1",F,"","","","",H32,H32,"",0,"","",,"","",,"",Esth 2:15; Esth 9:29; ,"",0,0,0,,"",,,아비하일,
33,Abihu,亞比戶,"","","","","","1",M,"","","","",H30,H30,H30,0,"","",,Israel priest,Aaron,,"(Exodus 6:23, Numbers 3:2, Numbers 26:60, 1 Chronicles 6:3, 1 Chronicles 24:1-2)",Exod 6:23; Exod 24:1; Exod 24:9; Exod 28:1; Lev 10:1; Num 3:2; Num 3:4; Num 26:60; Num 26:61; 1Chr 6:3; 1Chr 24:1; 1Chr 24:2; ,"",180,2,182,0,"",1,,아비후,
34,Abihud,亞比忽,"","","","","","1",M,"","","","",H31,H31,H31,0,"","",,Israel,Gera,,(1 Chronicles 8:3),"1Chr 8:3; ","",772,1,773,0,"",1,,아비훗,
35,Abijah,亞比雅,"","","","","","1",M,"","","","",H29,H29,"",0,"","",,"","",,"","1Kgs 14:1; ","",0,0,0,,"",,,아비야,
36,Abijah,亞比雅,"","",Abia,"","","1",M,"","","","","G7, H29","G7,H29","",0,"","",,"","",,"","1Chr 24:10; Luke 1:5; ","",0,0,0,,"",,,아바야(인명),
37,Abijah,亞比雅,"","","","","","1",M,"","","","",H29,H29,"",0,"","",,"","",,"",Neh 10:7; Neh 12:4; Neh 12:17; ,"",0,0,0,,"",,,아비야,
38,Abijah,亞比雅,Abijam,"",Abia,亞比央,"","1",M,"","0907 BC",Jerusalem,"Jerusalem","G7, H29, H38","G7,H29,H38","H29, H38, G7",0,"","",,messianicLine,Rehoboam,"Also: Abia, Abiah, Abijam
H37=Abia or Abiah or Abijah (1 Chr 3:10) = ""Jehovah is (my) father""
1) king of Judah, son and successor of Rehoboam
H38=Abijam (1 Kgs 14:31) = ""my father is the sea"" or ""Yah(u) is (my) father""
1) king of Judah, son and successor of Rehoboam","(1 Chronicles 3:10, Matthew 1:7)","1Kgs 14:31; 1Kgs 15:1; 1Kgs 15:7; 1Kgs 15:8; 1Chr 3:10; 2Chr 11:20; 2Chr 11:22; 2Chr 12:16; 2Chr 13:1; 2Chr 13:2; 2Chr 13:3; 2Chr 13:4; 2Chr 13:15; 2Chr 13:17; 2Chr 13:19; 2Chr 13:20; 2Chr 13:21; 2Chr 13:22; 2Chr 14:1; Matt 1:7; ","",429,1,430,1,"",1,,아바야(인명),
39,Abimael,亞比瑪利,"","","","","","1",M,"","","","",H39,H39,H39,0,"","",,base,Joktan,,"(Genesis 10:26-29, 1 Chronicles 1:20-23)",Gen 10:28; 1Chr 1:22; ,"",28,9,37,0,"",1,,아비마엘,
40,Abimelech,亞比米勒,"","","","","","1",M,"","","","",H40,H40,"",0,"","",,"","",,"",Gen 20:2; Gen 20:3; Gen 20:4; Gen 20:8; Gen 20:9; Gen 20:10; Gen 20:14; Gen 20:15; Gen 20:17; Gen 20:18; Gen 21:22; Gen 21:25; Gen 21:26; Gen 21:27; Gen 21:29; Gen 21:32; Gen 26:1; Gen 26:8; Gen 26:9; Gen 26:10; Gen 26:11; Gen 26:16; Gen 26:26; Judg 9:53; ,"",0,0,0,,"",,,아비멜렉,
41,Abimelech,亞比米勒,"","","","","","1",M,"","","","",H40,H40,"",0,"","",,"","",,"",Judg 8:31; Judg 9:1; Judg 9:3; Judg 9:4; Judg 9:6; Judg 9:16; Judg 9:18; Judg 9:19; Judg 9:20; Judg 9:21; Judg 9:22; Judg 9:23; Judg 9:24; Judg 9:25; Judg 9:27; Judg 9:28; Judg 9:29; Judg 9:31; Judg 9:34; Judg 9:35; Judg 9:38; Judg 9:39; Judg 9:40; Judg 9:41; Judg 9:42; Judg 9:44; Judg 9:45; Judg 9:47; Judg 9:48; Judg 9:49; Judg 9:50; Judg 9:52; Judg 9:55; Judg 9:56; Judg 10:1; ,"",0,0,0,,"",,,아비멜렉,
42,Abimelech,亞比米勒,"","","","","","1",M,"","","","",H40,H40,"",0,"","",,"","",,"","2Sam 11:21; ","",0,0,0,,"",,,아비멜렉,
43,Abinadab,亞比拿達,"","","","","","1",M,"","","","",H41,H41,"",0,"","",,"","",,"","1Sam 7:1; 2Sam 6:3; 2Sam 6:4; 1Chr 13:7; ","",0,0,0,,"",,,아비나답,
44,Abinadab,亞比拿達,"","","",便亞比拿達,"","1",M,"","","","",H41,H41,"H41, H1125",0,"","",H41,Israel,Jesse,"not H1125=Ben-Abinadab = ""son of Abinadab"" 1) an officer of Solomon",(1 Chronicles 2:13),"1Sam 16:8; 1Sam 17:13; 1Chr 2:13; ","",364,2,366,0,"",0,,아비나답,
45,Abinadab,便亞比拿達,"","","","","","1",M,"","","","",H1125,H1125,"",0,"","",,"","",,"","1Kgs 4:11; ","",0,0,0,,"",,,벤아비나답,
46,Abinoam,亞比挪菴,"","","","","","1",M,"","","","",H42,H42,"",0,"","",,"","",,"",Judg 4:6; Judg 4:12; Judg 5:1; Judg 5:12; ,"",0,0,0,,"",,,아비노암,
47,Abiram,亞比蘭,"","","","","","1",M,"","","","",H48,H48,H48,0,"","",,Israel,Eliab,,(Numbers 26:9)<br><br>Abiram (and Dathan) contended against Moses and Aaron (Numbers 26:9),Num 16:1; Num 16:12; Num 16:24; Num 16:25; Num 16:27; Num 26:9; Deut 11:6; Ps 106:17; ,"",93,3,96,0,"",1,,아비람,
48,Abiram,亞比蘭,"","","","","","1",M,"","","","",H48,H48,"",0,"","",,"","",,"","1Kgs 16:34; ","",0,0,0,,"",,,아비람,
49,Abishag,亞比煞,"","","","","","1",F,"","","","",H49,H49,"",0,"","",,"","",,"","1Kgs 1:3; 1Kgs 1:15; 1Kgs 2:17; 1Kgs 2:21; 1Kgs 2:22; ","",0,0,0,,"",,,,
50,Abishai,亞比篩,"","","","","","1",M,"","","","",H52,H52,H52,0,"","",,Israel,Zeruiah,,(1 Chronicles 2:16),"1Sam 26:6; 1Sam 26:7; 1Sam 26:8; 1Sam 26:9; 2Sam 2:18; 2Sam 2:24; 2Sam 3:30; 2Sam 10:10; 2Sam 10:14; 2Sam 16:9; 2Sam 16:11; 2Sam 18:2; 2Sam 18:5; 2Sam 18:12; 2Sam 19:21; 2Sam 20:6; 2Sam 20:10; 2Sam 21:17; 2Sam 23:18; 1Chr 2:16; 1Chr 11:20; 1Chr 18:12; 1Chr 19:11; 1Chr 19:15; ","",508,1,509,,"",1,,아비새,
51,Abishua,亞比書,"","","","","","1",M,"","","","",H50,H50,H50,0,"","",,Israel priest,Phinehas,,"(1 Chronicles 6:4, 1 Chronicles 6:50, Ezra 7:5)","1Chr 6:4; 1Chr 6:5; 1Chr 6:50; Ezra 7:5; ","",184,1,185,1,"",1,,아비수아,
52,Abishua,亞比書,"","","","","","1",M,"","","","",H50,H50,H50,0,"","",,Israel,Abihud,,(1 Chronicles 8:3),"1Chr 8:4; ","",773,1,774,0,"",1,,아비수아,
53,Abishur,亞比述,"","","","","","1",M,"","","","",H51,H51,H51,0,"","",,Israel,Shammai,,(1 Chronicles 2:28),"1Chr 2:28; 1Chr 2:29; ",Abihail (1 Chronicles 2:29),330,2,350,0,Abihail (29),1,,아비술,
54,Abital,亞比他,"","","","","","1",F,"","","","",H37,H37,"",0,"","",,"","",,"","2Sam 3:4; 1Chr 3:3; ","",0,0,0,,David (994),,,아비달,
55,Abitub,亞比突,"","","","","","1",M,"","","","",H36,H36,H36,0,"","",,Israel,Shaharaim,,(1 Chronicles 8:11),"1Chr 8:11; ","",783,8,791,0,"",1,,아비둡,
56,Abiud,亞比玉,Abihud,亞比忽,"","","","1",M,"","","","",G10,G10,H31,0,"","",G10,messianicLine,Zerubbabel,"not H31=Abihud = ""my father is majesty""
1) son of Bela, a Benjamite",(Matthew 1:13),Matt 1:13; ,"",449,1,450,0,"",0,,아비훗,
57,Abner,押尼珥,"","","","","","1",M,"","","","",H74,H74,"",0,"","",,"","",,"","1Sam 14:50; 1Sam 14:51; 1Sam 17:55; 1Sam 17:57; 1Sam 20:25; 1Sam 26:5; 1Sam 26:7; 1Sam 26:14; 1Sam 26:15; 2Sam 2:8; 2Sam 2:12; 2Sam 2:14; 2Sam 2:17; 2Sam 2:19; 2Sam 2:20; 2Sam 2:21; 2Sam 2:22; 2Sam 2:23; 2Sam 2:24; 2Sam 2:25; 2Sam 2:26; 2Sam 2:29; 2Sam 2:30; 2Sam 2:31; 2Sam 3:6; 2Sam 3:7; 2Sam 3:8; 2Sam 3:9; 2Sam 3:11; 2Sam 3:12; 2Sam 3:16; 2Sam 3:17; 2Sam 3:19; 2Sam 3:20; 2Sam 3:21; 2Sam 3:22; 2Sam 3:23; 2Sam 3:24; 2Sam 3:25; 2Sam 3:26; 2Sam 3:27; 2Sam 3:28; 2Sam 3:30; 2Sam 3:31; 2Sam 3:32; 2Sam 3:33; 2Sam 3:37; 2Sam 4:1; 2Sam 4:12; 1Kgs 2:5; 1Kgs 2:32; 1Chr 26:28; 1Chr 27:21; ","",0,0,0,,"",,,아브넬,
58,Abraham,亞伯拉罕,Abram,亞伯蘭,"","","","1",M,"1995 BC","1820 BC","","","G11, H85, H87","","",1976,"1801","175",,major messianicLine,Terah,,"(Genesis 11:26, 1 Chronicles 1:26-27, Luke 3:34, Genesis 25:7-10)<br><br>G-d renamed Abram to Abraham (Genesis 17:5).<br><br>Abram was the first person called 'Hebrew' in the Bible (Genesis 14:13).<br><br>Abram was born 1948 years from the creation of the world.",Gen 11:26; Gen 11:27; Gen 11:29; Gen 11:31; Gen 12:1; Gen 12:4; Gen 12:5; Gen 12:6; Gen 12:7; Gen 12:9; Gen 12:10; Gen 12:14; Gen 12:16; Gen 12:17; Gen 12:18; Gen 13:1; Gen 13:2; Gen 13:4; Gen 13:5; Gen 13:7; Gen 13:8; Gen 13:12; Gen 13:14; Gen 13:18; Gen 14:12; Gen 14:13; Gen 14:14; Gen 14:19; Gen 14:21; Gen 14:22; Gen 14:23; Gen 15:1; Gen 15:2; Gen 15:3; Gen 15:11; Gen 15:12; Gen 15:13; Gen 15:18; Gen 16:1; Gen 16:2; Gen 16:3; Gen 16:5; Gen 16:6; Gen 16:15; Gen 16:16; Gen 17:1; Gen 17:3; Gen 17:5; Gen 17:5; Gen 17:9; Gen 17:15; Gen 17:17; Gen 17:18; Gen 17:22; Gen 17:23; Gen 17:24; Gen 17:26; Gen 18:6; Gen 18:7; Gen 18:11; Gen 18:13; Gen 18:16; Gen 18:17; Gen 18:18; Gen 18:19; Gen 18:22; Gen 18:23; Gen 18:27; Gen 18:33; Gen 19:27; Gen 19:29; Gen 20:1; Gen 20:2; Gen 20:9; Gen 20:10; Gen 20:11; Gen 20:14; Gen 20:17; Gen 20:18; Gen 21:2; Gen 21:3; Gen 21:4; Gen 21:5; Gen 21:7; Gen 21:8; Gen 21:9; Gen 21:10; Gen 21:11; Gen 21:12; Gen 21:14; Gen 21:22; Gen 21:24; Gen 21:25; Gen 21:27; Gen 21:28; Gen 21:29; Gen 21:34; Gen 22:1; Gen 22:3; Gen 22:4; Gen 22:5; Gen 22:6; Gen 22:7; Gen 22:8; Gen 22:9; Gen 22:10; Gen 22:11; Gen 22:13; Gen 22:14; Gen 22:15; Gen 22:19; Gen 22:20; Gen 22:23; Gen 23:2; Gen 23:3; Gen 23:5; Gen 23:7; Gen 23:10; Gen 23:12; Gen 23:14; Gen 23:16; Gen 23:18; Gen 23:19; Gen 23:20; Gen 24:1; Gen 24:2; Gen 24:6; Gen 24:9; Gen 24:12; Gen 24:15; Gen 24:27; Gen 24:34; Gen 24:42; Gen 24:48; Gen 24:52; Gen 24:59; Gen 25:1; Gen 25:5; Gen 25:6; Gen 25:7; Gen 25:8; Gen 25:10; Gen 25:11; Gen 25:12; Gen 25:19; Gen 26:1; Gen 26:3; Gen 26:5; Gen 26:15; Gen 26:18; Gen 26:24; Gen 28:4; Gen 28:9; Gen 28:13; Gen 31:42; Gen 31:53; Gen 32:9; Gen 35:12; Gen 35:27; Gen 48:15; Gen 48:16; Gen 49:30; Gen 49:31; Gen 50:13; Gen 50:24; Exod 2:24; Exod 3:6; Exod 3:15; Exod 3:16; Exod 4:5; Exod 6:3; Exod 6:8; Exod 32:13; Exod 33:1; Lev 26:42; Num 32:11; Deut 1:8; Deut 6:10; Deut 9:5; Deut 9:27; Deut 29:13; Deut 30:20; Deut 34:4; Josh 24:2; Josh 24:3; 1Kgs 18:36; 2Kgs 13:23; 1Chr 1:27; 1Chr 1:27; 1Chr 1:28; 1Chr 1:32; 1Chr 1:34; 1Chr 16:16; 1Chr 29:18; 2Chr 20:7; 2Chr 30:6; Neh 9:7; Neh 9:7; Ps 47:9; Ps 105:6; Ps 105:9; Ps 105:42; Isa 29:22; Isa 41:8; Isa 51:2; Isa 63:16; Jer 33:26; Ezek 33:24; Mic 7:20; Matt 1:1; Matt 1:2; Matt 1:17; Matt 3:9; Matt 8:11; Matt 22:32; Mark 12:26; Luke 1:55; Luke 1:73; Luke 3:8; Luke 3:34; Luke 13:16; Luke 13:28; Luke 16:22; Luke 16:23; Luke 16:24; Luke 16:25; Luke 16:29; Luke 16:30; Luke 19:9; Luke 20:37; John 8:33; John 8:37; John 8:39; John 8:40; John 8:52; John 8:53; John 8:56; John 8:57; John 8:58; Acts 3:13; Acts 3:25; Acts 7:2; Acts 7:16; Acts 7:17; Acts 7:32; Acts 13:26; Rom 4:1; Rom 4:2; Rom 4:3; Rom 4:9; Rom 4:12; Rom 4:13; Rom 4:16; Rom 9:7; Rom 11:1; 2Cor 11:22; Gal 3:6; Gal 3:7; Gal 3:8; Gal 3:9; Gal 3:14; Gal 3:16; Gal 3:18; Gal 3:29; Gal 4:22; Heb 2:16; Heb 6:13; Heb 7:1; Heb 7:2; Heb 7:4; Heb 7:5; Heb 7:6; Heb 7:9; Heb 11:8; Heb 11:17; Jas 2:21; Jas 2:23; 1Pet 3:6; ,"Sarai/Sarah (Genesis 11:29, 17:15)",46,2,53,0,Hagar (1348) Keturah (1782) Sarah (2473),0,,아브라함,
